date, pm25, o3, so2, co,ICA,nDia
2021/2/21, 53, 25, 4, 5,21.75,-513
2021/2/22, 54, 14, 4, 8,20.00,-514
2021/2/23, 57, 34, 6, 9,26.50,-515
2021/2/24, 81, 29, 5, 8,30.75,-516
2021/2/25, 59, 26, 4, 7,24.00,-517
2021/2/26, 58, 20, 4, 7,22.25,-518
2021/2/27, 53, 26, 4, 8,22.75,-519
2021/2/28, 67, 28, 3, 7,26.25,-520
2021/3/1, 54, 23, 4, 7,22.00,-521
2021/3/2, 53, 16, 5, 8,20.50,-522
2021/3/3, 58, 19, 4, 9,22.50,-523
2021/3/4, 60, 27, 5, 11,25.75,-524
2021/3/5, 62, 20, 6, 11,24.75,-525
2021/3/6, 69, 40, 7, 13,32.25,-526
2021/3/7, 72, 35, 4, 9,30.00,-527
2021/3/8, 71, 18, 4, 8,25.25,-528
2021/3/9, 54, 10, 5, 8,19.25,-529
2021/3/10, 58, 14, 5, 8,21.25,-530
2021/3/11, 58, 12, 8, 8,21.50,-531
2021/3/12, 69, 18, 5, 6,24.50,-532
2021/3/13, 64, 23, 6, 12,26.25,-533
2021/3/14, 73, 28, 5, 7,28.25,-534
